,h1,art,price,price2,gold,gold2,weight,gems,gems2,url,d1,d0
10,Золотые серьги с фианитами,Артикул: 263649,7990₽,15980₽,"Артикул: 263649;Серьги, вставка:  фианит;    
Розовое золото 585 пробы.;Вес изделия: 1.22г;Серьги, вставка:  фианит;    
Розовое золото 585 пробы.",,,,,https://sunlight.net/catalog/earring_263649.html,С13211737-501*&РОССИЯ&Розовое золото&Фианит&1.22 г,SERGEY GRIBNYAKOV&Детская коллекция
11,Золотые серьги,Артикул: 320268,11990₽,23980₽,"Артикул: 320268;Серьги, вставка:  куб. цирконий;    
Розовое золото 585 пробы.;Вес изделия: 1.52г;Серьги, вставка:  куб. цирконий;    
Розовое золото 585 пробы.",,,,,https://sunlight.net/catalog/earring_320268.html,04-52-0310-00*&РОССИЯ&1.52 г,SERGEY GRIBNYAKOV&Золото. Элегантная классика
12,Золотые серьги с бриллиантами,Артикул: 299454,39990₽,79980₽,"Артикул: 299454;Серьги с 20 бриллиантами черными обл., огранка круг 57 граней, 0.17 карат, цвет 7, чистота 9, тип огранки А;    
Белое золото 585 пробы.;Вес изделия: 2.68г;Серьги с 20 бриллиантами черными обл., огранка круг 57 граней, 0.17 карат, цвет 7, чистота 9, тип огранки А;    
Белое золото 585 пробы.",,,,,https://sunlight.net/catalog/earring_299454.html,71690-C5W-01&РОССИЯ&Белое золото&Бриллиант&2.68 г,SERGEY GRIBNYAKOV&Коньячные и черные бриллианты
13,Серебряное шейное украшение с жемчугом,Артикул: 270535,1490₽,4967₽,"Артикул: 270535;Шейное укр., вставка:  жемчуг культивированный;    
Серебро 925 пробы.;Вес изделия: 2.87г;Шейное укр., вставка:  жемчуг культивированный;    
Серебро 925 пробы.",,,,,https://sunlight.net/catalog/neck_decoration_270535.html,S91658-H9W-01&Серебро&Жемчуг&2.87 г,SERGEY GRIBNYAKOV&Жемчуг серебро
14,Золотая подвеска с фианитами,Артикул: 299411,3190₽,6380₽,"Артикул: 299411;Подвеска, вставка:  фианит;    
Белое золото 585 пробы.

Сердце считается одним из самых популярных мотивов в современном ювелирном искусстве, который у большинства ассоциируется с любовью и романтизмом. 
Белое золото. Изысканное сияние белого золота придает украшениям  вневременную элегантность. Если обычное ювелирное золото содержит чистое золото и сплав из серебра и меди, то в сплав белого золота вместо меди добавляется никель или палладий, которые и окрашивают металл в белый цвет.  После полировки на ювелирное изделие наносится родиевое покрытие. В компании Sunlight слой родия составляет не менее 3-х микрон в украшениях белого золота. Это необходимо для износостойкости, родий - медицинский гипоаллергенный металл, а так же для эстетически выразительного цвета украшения. Его блеск подчеркивает красоту прозрачных фианитов их яркость блеска и разнообразие огранок. Отличительная черта украшений  в белом золоте - это классические и европейские дизайны модельного ряда, представленные в коллекции. Быть совершенной легко!;Вес изделия: 0.44г;Подвеска, вставка:  фианит;    
Белое золото 585 пробы.;Сердце считается одним из самых популярных мотивов в современном ювелирном искусстве, который у большинства ассоциируется с любовью и романтизмом. 
Белое золото. Изысканное сияние белого золота придает украшениям  вневременную элегантность. Если обычное ювелирное золото содержит чистое золото и сплав из серебра и меди, то в сплав белого золота вместо меди добавляется никель или палладий, которые и окрашивают металл в белый цвет.  После полировки на ювелирное изделие наносится родиевое покрытие. В компании Sunlight слой родия составляет не менее 3-х микрон в украшениях белого золота. Это необходимо для износостойкости, родий - медицинский гипоаллергенный металл, а так же для эстетически выразительного цвета украшения. Его блеск подчеркивает красоту прозрачных фианитов их яркость блеска и разнообразие огранок. Отличительная черта украшений  в белом золоте - это классические и европейские дизайны модельного ряда, представленные в коллекции. Быть совершенной легко!",,,,,https://sunlight.net/catalog/pendants_299411.html,П33212950-501*&РОССИЯ&Белое золото&Фианит&0.44 г,SERGEY GRIBNYAKOV&Белое и желтое золото
15,Золотые серьги с бриллиантами,Артикул: 91178,51990₽,173300₽,"Артикул: 91178;Серьги с 2 бриллиантами, огранка круг 57 граней, 0.24 карат, цвет 6, чистота 5, тип огранки А, 2 бриллиантами, огранка круг 57 граней, 0.16 карат, цвет 6, чистота 5, тип огранки А, 4 бриллиантами, огранка круг 57 граней, 0.01 карат, цвет 6, чистота 5, тип огранки А, 2 бриллиантами, огранка круг 57 граней, 0.01 карат, цвет 6, чистота 5, тип огранки А;    
Розовое золото 585 пробы.;Вес изделия: 2.29г;Серьги с 2 бриллиантами, огранка круг 57 граней, 0.24 карат, цвет 6, чистота 5, тип огранки А, 2 бриллиантами, огранка круг 57 граней, 0.16 карат, цвет 6, чистота 5, тип огранки А, 4 бриллиантами, огранка круг 57 граней, 0.01 карат, цвет 6, чистота 5, тип огранки А, 2 бриллиантами, огранка круг 57 граней, 0.01 карат, цвет 6, чистота 5, тип огранки А;    
Розовое золото 585 пробы.",,,,,https://sunlight.net/catalog/earring_91178.html,2202544&РОССИЯ&Розовое золото&Бриллиант&2.29 г,SERGEY GRIBNYAKOV&Бриллианты. Fashion Diamonds
16,Серебряный браслет с алпанитом,Артикул: 97364,2790₽,5580₽,"Артикул: 97364;Браслет, вставка:  алпанит цветной;    
Серебро 925 пробы.;Вес изделия: 2.69г;Браслет, вставка:  алпанит цветной;    
Серебро 925 пробы.",,,,,https://sunlight.net/catalog/bracelets_97364.html,S69057-B9W-01&Серебро&Алпанит&2.69 г,SERGEY GRIBNYAKOV&CANDY
17,Золотые серьги с фианитами,Артикул: 49290,9490₽,18980₽,"Артикул: 49290;Серьги, вставка:  фианит;    
Розовое золото 585 пробы.

Бабочки – находятся в тренде уже не один год. У этого символа есть несколько значений: олицетворяет коммуникабельность, легкость человеческой натуры. Это прекрасное насекомое, которое из-за своего процесса удивительной трансформации является символом вечных изменений и чудесных преображений. Дарит ощущение свободы, легкости, любви к природе и миру. Некоторые считают бабочку знаком непостоянства, ветрености. Однако вы сами можете выбирать значение своего украшения.;Вес изделия: 1.38г;Серьги, вставка:  фианит;    
Розовое золото 585 пробы.;Бабочки – находятся в тренде уже не один год. У этого символа есть несколько значений: олицетворяет коммуникабельность, легкость человеческой натуры. Это прекрасное насекомое, которое из-за своего процесса удивительной трансформации является символом вечных изменений и чудесных преображений. Дарит ощущение свободы, легкости, любви к природе и миру. Некоторые считают бабочку знаком непостоянства, ветрености. Однако вы сами можете выбирать значение своего украшения.",,,,,https://sunlight.net/catalog/earring_49290.html,20064401*&РОССИЯ&Розовое золото&Фианит&1.38 г,SERGEY GRIBNYAKOV&Детская коллекция
18,Золотое кольцо с кубическим цирконием,Артикул: 275806,8380₽,16760₽,"Артикул: 275806;Кольцо, вставка:  куб. цирконий;    
Розовое золото 585 пробы.

Классические ювелирные украшения. Ювелирные украшения в классическом стиле: вне моды и времени. Отличительные признаки классики: спокойные плавные линии; гармоничные пропорции, симметричность, стандартные геометрические формы. Вы не прогадаете ни с собственным образом, ни с подарком!;Вес изделия: 1.34г;Кольцо, вставка:  куб. цирконий;    
Розовое золото 585 пробы.;Классические ювелирные украшения. Ювелирные украшения в классическом стиле: вне моды и времени. Отличительные признаки классики: спокойные плавные линии; гармоничные пропорции, симметричность, стандартные геометрические формы. Вы не прогадаете ни с собственным образом, ни с подарком!",,,,,https://sunlight.net/catalog/ring_275806.html,61-0036К*&РОССИЯ&Розовое золото&Кубический цирконий&1.34 г,SERGEY GRIBNYAKOV&Золото. Элегантная классика
19,Золотые серьги с фианитами,Артикул: 270098,15990₽,53300₽,"Артикул: 270098;Серьги, вставка:  фианит;    
Розовое золото 585 пробы.

Костромские ювелирные украшения: традиционный русский стиль -  Коллекция украшений с традиционными русскими дизайнами. Украшения несут в себе ювелирные традиции, любимые многими поколениями российских женщин, которые сохранят свою ценность на многие года.;Вес изделия: 2.74г;Серьги, вставка:  фианит;    
Розовое золото 585 пробы.;Костромские ювелирные украшения: традиционный русский стиль -  Коллекция украшений с традиционными русскими дизайнами. Украшения несут в себе ювелирные традиции, любимые многими поколениями российских женщин, которые сохранят свою ценность на многие года.",,,,,https://sunlight.net/catalog/earring_270098.html,1691701*&РОССИЯ&Розовое золото&Фианит&2.74 г,SERGEY GRIBNYAKOV
20,Серебряные серьги,Артикул: 268902,2190₽,4380₽,"Артикул: 268902;Серьги    
Серебро 925 пробы.;Вес изделия: 4.62г;Серьги    
Серебро 925 пробы.",,,,,https://sunlight.net/catalog/earring_268902.html,S16091-C9W-01&Серебро&4.62 г,SERGEY GRIBNYAKOV&Гладкие серебряные украшения
21,Серебряный браслет,Артикул: 158427,4590₽,9180₽,"Артикул: 158427;Браслет    
Серебро 925 пробы.;Вес изделия: 6.04г;Браслет    
Серебро 925 пробы.",,,,,https://sunlight.net/catalog/bracelets_158427.html,S11703-B9W-01&ИТАЛИЯ&Серебро&6.04 г,Alunno & Co.&Серебро Италии
22,Серебряные серьги с фианитами,Артикул: 263259,1990₽,3980₽,"Артикул: 263259;Серьги, вставка:  фианит;    
Серебро 925 пробы.;Вес изделия: 2.53г;Серьги, вставка:  фианит;    
Серебро 925 пробы.",,,,,https://sunlight.net/catalog/earring_263259.html,S54911-C9W-01&Серебро&Фианит&2.53 г,SERGEY GRIBNYAKOV&СЕРЕБРО. Классика
23,Золотые серьги с сапфирами и бриллиантами,Артикул: 81722,53990₽,269950₽,"Артикул: 81722;Серьги с 42 бриллиантами, огранка круг 57 граней, 0.21 карат, цвет 4, чистота 6, тип огранки А;
44 сапфирами, 0.67 карат, цвет 3, чистота 3, тип огранки В;2 , 5.74 карат;    
Белое золото 585 пробы.;Вес изделия: 5.12г;Серьги с 42 бриллиантами, огранка круг 57 граней, 0.21 карат, цвет 4, чистота 6, тип огранки А;
44 сапфирами, 0.67 карат, цвет 3, чистота 3, тип огранки В;2 , 5.74 карат;    
Белое золото 585 пробы.",,,,,https://sunlight.net/catalog/earring_81722.html,5971-C5W-01&Белое золото&Бриллиант; Сапфир&5.12 г,SERGEY GRIBNYAKOV&Золото. Жемчуг
24,Золотые серьги с бриллиантами,Артикул: 154694,27990₽,55980₽,"Артикул: 154694;Серьги с 10 бриллиантами, огранка круг 17 граней, 0.04 карат, цвет 2, чистота 2, тип огранки Б;    
Белое золото 585 пробы.

Невероятная привлекательность украшений из этой коллекции обусловлена использованием в изделиях сверкающего алмазного диска, который позволяет визуально увеличить и эффектно представить бриллианты взору окружающих.;Вес изделия: 2.14г;Серьги с 10 бриллиантами, огранка круг 17 граней, 0.04 карат, цвет 2, чистота 2, тип огранки Б;    
Белое золото 585 пробы.;Невероятная привлекательность украшений из этой коллекции обусловлена использованием в изделиях сверкающего алмазного диска, который позволяет визуально увеличить и эффектно представить бриллианты взору окружающих.",,,,,https://sunlight.net/catalog/earring_154694.html,70653-C5W-01&РОССИЯ&Белое золото&Бриллиант&2.14 г,Бриллианты Якутии&Бриллианты. Miracle
25,Золотой браслет,Артикул: 333668,46010₽,92020₽,"Артикул: 333668;Браслет, вставка:  фианит;    
Розовое золото 585 пробы.;Вес изделия: 5.51г;Браслет, вставка:  фианит;    
Розовое золото 585 пробы.",,,,,https://sunlight.net/catalog/bracelets_333668.html,74616А.1*&РОССИЯ&5.51 г,SERGEY GRIBNYAKOV&Золото. Элегантная классика
26,Серебряное шейное украшение со сталью и апатитами,Артикул: 323122,5490₽,10980₽,"Артикул: 323122;Шейное укр., вставка:  апатит; Сталь;    
Серебро 925 пробы.;Вес изделия: 11.75г;Шейное укр., вставка:  апатит; Сталь;    
Серебро 925 пробы.",,,,,https://sunlight.net/catalog/neck_decoration_323122.html,60008&Серебро&Сталь; Апатит&11.75 г,Русголд&Самоцветы
27,Золотые серьги,Артикул: 299557,13990₽,27980₽,"Артикул: 299557;Серьги    
Розовое золото 585 пробы.

Звезда — это одна из самых популярных форм в украшениях, которая имеет разные значения во многих культурах. Прежде всего, звезда символизирует соединение стихий, мечты и счастье, во-вторых, каждая девушка мечтает о «звездочке с неба» в знак подтверждения искренности чувств.
Круг -  символизирует единство, совершенство, согласие, вечность. Еще смысл круга заключается в полноте и постоянстве жизненного пути. В некоторых культурах он обозначает плодородие, женское начало и материнство.;Вес изделия: 2.09г;Серьги    
Розовое золото 585 пробы.;Звезда — это одна из самых популярных форм в украшениях, которая имеет разные значения во многих культурах. Прежде всего, звезда символизирует соединение стихий, мечты и счастье, во-вторых, каждая девушка мечтает о «звездочке с неба» в знак подтверждения искренности чувств.
Круг -  символизирует единство, совершенство, согласие, вечность. Еще смысл круга заключается в полноте и постоянстве жизненного пути. В некоторых культурах он обозначает плодородие, женское начало и материнство.",,,,,https://sunlight.net/catalog/earring_299557.html,SL2781799-1*&РОССИЯ&Розовое золото&2.09 г,SERGEY GRIBNYAKOV&Золотые украшения без вставок
28,Серебряная подвеска с жемчугом и фианитами,Артикул: 270492,1390₽,2780₽,"Артикул: 270492;Подвеска, вставка:  жемчуг культивированный; фианит;    
Серебро 925 пробы.;Вес изделия: 1.58г;Подвеска, вставка:  жемчуг культивированный; фианит;    
Серебро 925 пробы.",,,,,https://sunlight.net/catalog/pendants_270492.html,S91720-P9W-01&Серебро&Фианит; Жемчуг&1.58 г,SERGEY GRIBNYAKOV&Жемчуг серебро
29,Серебряные серьги с жемчугом,Артикул: 241885,1690₽,3380₽,"Артикул: 241885;Серьги, вставка:  жемчуг имитация;    
Серебро 925 пробы.;Вес изделия: 3.07г;Серьги, вставка:  жемчуг имитация;    
Серебро 925 пробы.",,,,,https://sunlight.net/catalog/earring_241885.html,S91467-C9W-01&Серебро&Жемчуг&3.07 г,SERGEY GRIBNYAKOV&Жемчуг серебро
30,Золотая брошь с фианитами,Артикул: 304288,7990₽,15980₽,"Артикул: 304288;Брошь, вставка:  фианит;    
Розовое золото 585 пробы.

Костромские ювелирные украшения: традиционный русский стиль -  Коллекция украшений с традиционными русскими дизайнами. Украшения несут в себе ювелирные традиции, любимые многими поколениями российских женщин, которые сохранят свою ценность на многие года.;Вес изделия: 1.21г;Брошь, вставка:  фианит;    
Розовое золото 585 пробы.;Костромские ювелирные украшения: традиционный русский стиль -  Коллекция украшений с традиционными русскими дизайнами. Украшения несут в себе ювелирные традиции, любимые многими поколениями российских женщин, которые сохранят свою ценность на многие года.",,,,,https://sunlight.net/catalog/brooch_304288.html,1169265*&РОССИЯ&Розовое золото&Фианит&1.21 г,SERGEY GRIBNYAKOV
