,h1,art,price,price2,gold,gold2,weight,gems,gems2,url,d1,d0
12962,Серебряное кольцо с фианитами,Артикул: 237885,1074₽,3580₽,"Артикул: 237885;Кольцо, вставка:  фианит;    
Серебро 925 пробы.;Вес изделия: 4.66г;Кольцо, вставка:  фианит;    
Серебро 925 пробы.",,,,,https://sunlight.net/catalog/ring_237885.html,S53388-K9W-01&Серебро&Фианит&4.66 г,SERGEY GRIBNYAKOV&СЕРЕБРО. Классика
12963,Серебряные серьги,Артикул: 249607,4290₽,21450₽,"Артикул: 249607;Серьги    
Серебро 925 пробы.;Вес изделия: 24.78г;Серьги    
Серебро 925 пробы.",,,,,https://sunlight.net/catalog/earring_249607.html,S15253-C9W-01&Серебро&24.78 г,SERGEY GRIBNYAKOV&Гладкие серебряные украшения
12964,Золотые серьги с гранатом и фианитами,Артикул: 125128,7494₽,24980₽,"Артикул: 125128;Серьги с 2 гранатами, 1.02 карат, тип огранки Б; фианит;    
Розовое золото 585 пробы.

Насыщенный и страстный ярко-красный гранат, заключенный в роскошную золотую оправу. Гранат - символ любви, верности и мужества.;Вес изделия: 1.7г;Серьги с 2 гранатами, 1.02 карат, тип огранки Б; фианит;    
Розовое золото 585 пробы.;Насыщенный и страстный ярко-красный гранат, заключенный в роскошную золотую оправу. Гранат - символ любви, верности и мужества.",,,,,https://sunlight.net/catalog/earring_125128.html,С122-1517Гр*&РОССИЯ&Розовое золото&Фианит; Гранат&1.7 г,SERGEY GRIBNYAKOV&ГРАНАТЫ
12965,Серебряный браслет с фианитами,Артикул: 309924,1674₽,5580₽,"Артикул: 309924;Браслет, вставка:  фианит;    
Серебро 925 пробы.

Быть в тренде – легко! Самые актуальные Украшения из коллекции SILVER FASHION: одно или сразу несколько – решать только Вам!;Вес изделия: 2.78г;Браслет, вставка:  фианит;    
Серебро 925 пробы.;Быть в тренде – легко! Самые актуальные Украшения из коллекции SILVER FASHION: одно или сразу несколько – решать только Вам!",,,,,https://sunlight.net/catalog/bracelets_309924.html,S55361-B9W-01&Серебро&Фианит&2.78 г,SERGEY GRIBNYAKOV&СЕРЕБРО. FASHION 
12966,Серебряные серьги с амазонитом,Артикул: 303918,1914₽,6380₽,"Артикул: 303918;Серьги с 2 амазонитами;    
Серебро 925 пробы.;Вес изделия: 1.8г;Серьги с 2 амазонитами;    
Серебро 925 пробы.",,,,,https://sunlight.net/catalog/earring_303918.html,02-2634/0АМЗ-00&РОССИЯ&Серебро&Амазонит&1.8 г,SERGEY GRIBNYAKOV&Самоцветы
12967,Золотое кольцо с сапфирами и бриллиантами,Артикул: 303485,17994₽,59980₽,"Артикул: 303485;Кольцо с 12 бриллиантами, огранка круг 17 граней, 0.05 карат, цвет 2, чистота 2, тип огранки Б;
1 сапфиром оранжевым, 0.10 карат, тип огранки В;    
Розовое золото 585 пробы.;Вес изделия: 2.54г;Кольцо с 12 бриллиантами, огранка круг 17 граней, 0.05 карат, цвет 2, чистота 2, тип огранки Б;
1 сапфиром оранжевым, 0.10 карат, тип огранки В;    
Розовое золото 585 пробы.",,,,,https://sunlight.net/catalog/ring_303485.html,71913-K5R-01&РОССИЯ&Розовое золото&Бриллиант; Сапфир&2.54 г,SERGEY GRIBNYAKOV
12968,Серебряные серьги с янтарем,Артикул: 310806,1674₽,5580₽,"Артикул: 310806;Серьги, вставка:  янтарь не дк;    
Серебро 925 пробы.;Вес изделия: 3.45г;Серьги, вставка:  янтарь не дк;    
Серебро 925 пробы.",,,,,https://sunlight.net/catalog/earring_310806.html,429042011cs&РОССИЯ&Серебро&Янтарь&3.45 г,SERGEY GRIBNYAKOV&ЯНТАРЬ
12969,Серебряные серьги,Артикул: 268802,1014₽,3380₽,"Артикул: 268802;Серьги    
Серебро 925 пробы.;Вес изделия: 4.39г;Серьги    
Серебро 925 пробы.",,,,,https://sunlight.net/catalog/earring_268802.html,S16088-C9W-01&Серебро&4.39 г,SERGEY GRIBNYAKOV&Гладкие серебряные украшения
12970,Серебряная брошь,Артикул: 110384,714₽,2380₽,"Артикул: 110384;Значок    
Серебро 925 пробы.

Ювелирные украшения с государственной символикой Российской Федерации всегда были актуальны и сейчас имеют особый вес. Украшение выполнено в лаконичном классическом стиле, позволит его обладателю подчеркнуть свой статус и донести главный смысл символа, отражающего патриотизм и единение.;Вес изделия: 0.47г;Значок    
Серебро 925 пробы.;Ювелирные украшения с государственной символикой Российской Федерации всегда были актуальны и сейчас имеют особый вес. Украшение выполнено в лаконичном классическом стиле, позволит его обладателю подчеркнуть свой статус и донести главный смысл символа, отражающего патриотизм и единение.",,,,,https://sunlight.net/catalog/brooch_110384.html,14020039-40&РОССИЯ&Серебро&0.47 г,SERGEY GRIBNYAKOV
12971,Золотые серьги с коньячными бриллиантами,Артикул: 86138,32990₽,109967₽,"Артикул: 86138;Серьги с 40 бриллиантами черными обл., огранка круг 17 граней, 0.11 карат, тип огранки Б;38 бриллиантами коньячными, огранка круг 17 граней, 0.10 карат, цвет 4, чистота 4, тип огранки Б;    
Розовое золото 585 пробы.

Уникальная коллекция с коньячными и черными бриллиантами превосходна в тонкости ювелирной работы. Ведь украшения из этой коллекции – гармония цвета и фактуры, выразительность линий и совершенство в деталях.;Вес изделия: 3.22г;Серьги с 40 бриллиантами черными обл., огранка круг 17 граней, 0.11 карат, тип огранки Б;38 бриллиантами коньячными, огранка круг 17 граней, 0.10 карат, цвет 4, чистота 4, тип огранки Б;    
Розовое золото 585 пробы.;Уникальная коллекция с коньячными и черными бриллиантами превосходна в тонкости ювелирной работы. Ведь украшения из этой коллекции – гармония цвета и фактуры, выразительность линий и совершенство в деталях.",,,,,https://sunlight.net/catalog/earring_86138.html,60003-C5R-01&Розовое золото&Бриллиант; Коньячный бриллиант&3.22 г,SERGEY GRIBNYAKOV&Коньячные и черные бриллианты
